visit_id,member_id,branch,check_in_time,check_out_time
c7b42034,26e8e627,Tunis Lake,2025-06-08 18:02:00,2025-06-08 18:40:00
9cb80428,b357874e,Nabeul,2023-12-14 09:27:00,2023-12-14 11:24:00
718c9145,a4ed006b,Nabeul,2023-03-29 10:03:00,2023-03-29 11:16:00
e0f08686,6971d7b6,Nabeul Plage,2024-09-25 13:16:00,2024-09-25 15:12:00
3c57f40c,af9c4c58,Bizerte Port,2022-09-08 09:51:00,2022-09-08 11:02:30
7b05197e,eb517e91,Sfax_Center,2025-06-14 08:05:00,2025-06-14 09:50:00
32483523,6f57ea7b,Nabeul Plage,2024-01-07 16:56:00,2024-01-07 18:30:00
12181453,de4b0859,Sousse,2022-11-11 16:36:00,2022-11-11 18:10:00
cb1d4c3e,58003249,Nabeul,2023-06-01 06:50:00,2023-06-01 08:50:00
a526d2ac,c95c389d,Nabeul,2023-11-07 14:30:00,2023-11-07 15:01:00
58235c92,481663da,tunis lake,2024-11-17 08:05:00,2024-11-17 09:02:00
7ebccd9b,54f088d3,Sfax Center,2024-02-22 13:08:00,2024-02-22 14:31:00
68176064,745e46bc,Sousse Corniche,2022-09-11 17:56:00,2022-09-11 19:14:00
acf07867,20cbfe66,Nabeul Plage,2023-08-09 20:22:00,2023-08-09 21:01:00
cd087f14,dd0f61d9,Tunis Lake,2023-10-15 09:58:00,2023-10-15 10:54:00
6e01a542,532081c5,Tunis Lake,2023-09-26 10:37:00,2023-09-26 11:25:00
bc2775e7,752a396e,Tunis Lake,2024-01-22 17:15:00,2024-01-22 17:58:00
ff469040,e535cb9c,Nabeul Plage,2023-04-14 19:55:00,2023-04-14 21:11:00
73f5e225,966e2a16,Nabeul,2024-08-14 21:28:00,2024-08-14 22:15:00
46b5e0df,69cddbe9,Nabeul Plage,2024-12-28 14:27:00,2024-12-28 15:19:00
3d4157b4,2b5f0e38,Sousse Corniche,2022-09-27 14:47:00,2022-09-27 15:30:00
a2092ab7,eccdfe3f,Bizerte Port,2023-03-26 09:49:00,2023-03-26 10:54:00
80df6b1e,284a11ee,Sfax_Center,2023-02-17 17:36:00,2023-02-17 19:25:00
2f9b46fb,99109715,Sfax_Center,2023-09-08 20:08:00,2023-09-08 21:55:00
9eddfa35,7771d7e3,Sousse,2022-09-28 13:42:00,2022-09-28 15:36:00
055b6a8e,c524c36b,Sousse Corniche,2024-10-17 16:04:00,2024-10-17 18:02:00
02945123,4a343f77,tunis lake,2025-04-07 06:27:00,2025-04-07 07:18:00
c3d13c37,3ba26e32,Nabeul,2022-12-17 16:23:00,2022-12-17 18:01:00
947222de,e60eee5e,Sfax Center,2022-08-13 12:30:00,2022-08-13 13:23:00
63718b93,00d41ba1,Nabeul Plage,2023-10-07 10:19:00,2023-10-07 11:31:30
5a47fa5d,20428098,Nabeul Plage,2023-04-03 09:00:00,2023-04-03 09:46:00
eca09b1b,393ecfc5,tunis lake,2024-09-30 20:18:00,2024-09-30 21:15:00
2402338c,b357874e,tunis lake,2024-04-27 21:36:00,2024-04-27 22:46:00
49ca9ef4,ecc1ebad,Tunis Lake,2025-06-01 13:38:00,2025-06-01 14:11:00
d34b8126,0eee54c5,Sfax Center,2022-10-15 20:37:00,2022-10-15 21:54:00
6308a4ba,194126ac,Nabeul,2022-09-12 07:40:00,2022-09-12 08:20:00
825601a0,fce7bb81,Sousse Corniche,2023-11-17 09:35:00,2023-11-17 11:20:00
01443b92,2d6a3c1b,Nabeul,2023-04-19 19:56:00,2023-04-19 20:26:00
2fe9e35c,cd63ce71,Sfax Center,2025-03-10 07:01:00,2025-03-10 08:08:00
82d5ee14,e8dc0782,Nabeul Plage,2023-05-31 06:22:00,2023-05-31 07:37:00
c5d222d5,c524c36b,tunis lake,2024-10-22 11:46:00,2024-10-22 12:33:00
6e1c2299,430f4e9d,Sousse,2022-10-31 18:20:00,2022-10-31 19:18:00
5bc4bb95,8faba7c4,Nabeul,2022-07-11 20:25:00,2022-07-11 21:48:00
8bcea5eb,5517456e,Tunis Lake,2023-01-29 14:48:00,2023-01-29 15:45:00
a5f3f4c0,687f1de3,Nabeul,2024-08-16 15:34:00,2024-08-16 16:04:00
c9294a46,5db360ff,Nabeul,2023-04-25 19:30:00,2023-04-25 20:31:00
231233f9,061f8201,Sfax Center,2024-12-14 08:27:00,2024-12-14 09:46:00
4e8b9462,8819dde9,tunis lake,2025-10-10 06:04:00,2025-10-10 07:01:00
be07b5dd,69cddbe9,tunis lake,2024-10-10 17:52:00,2024-10-10 18:27:00
46c081b2,4a83eb2c,Sfax Center,2024-02-22 16:52:00,2024-02-22 18:28:00
307d9a84,6428d3b8,Sfax_Center,2023-09-05 10:35:00,2023-09-05 11:32:00
78295769,06672864,Nabeul,2024-05-04 16:30:00,2024-05-04 18:13:00
cfa3de08,48cc1eb8,Sfax Center,2022-08-09 10:02:00,2022-08-09 11:16:00
88fe99ed,10173117,Bizerte Port,2022-12-23 19:07:00,2022-12-23 19:55:00
8da94ee5,a80cafa6,Sfax_Center,2023-05-23 18:12:00,2023-05-23 19:26:30
090e2bf5,752a396e,Sfax_Center,2024-01-04 16:52:00,2024-01-04 18:50:00
0df07809,802641d6,Sfax_Center,2025-03-09 07:45:00,2025-03-09 09:19:00
de51fb84,355b094c,Bizerte Port,2023-06-12 13:19:00,2023-06-12 14:56:00
ad3824eb,9ee7a985,Sfax_Center,2023-09-13 06:08:00,2023-09-13 06:41:00
0b5f9500,bf486123,Nabeul Plage,2022-11-12 14:45:00,2022-11-12 16:11:00
a2bccd03,802641d6,Tunis Lake,2024-08-09 06:40:00,2024-08-09 08:35:00
04412f37,7f9aced9,Sfax_Center,2023-01-15 14:39:00,2023-01-15 16:30:00
7ab39030,26521b4b,Nabeul Plage,2023-11-20 12:53:00,2023-11-20 14:05:30
68fd96b7,745e46bc,Sfax_Center,2023-01-19 06:13:00,2023-01-19 08:13:00
2e8df09d,dd0e6a6b,Sfax Center,2024-09-19 11:32:00,2024-09-19 12:47:00
